id,division,round,visitorGoals,timestamp
1,1,1,1,21938400
2,1,1,1,21938400
3,1,1,0,21938400
4,1,1,0,22024800
5,1,1,1,22024800
6,1,1,1,22024800
7,1,1,0,22024800
8,1,1,0,22024800
9,1,2,1,22543200
10,1,2,0,22629600
11,1,2,2,22629600
12,1,2,2,22629600
13,1,2,0,22629600
14,1,2,1,22629600
15,1,2,0,22629600
16,1,2,1,22629600
17,1,3,1,23148000
18,1,3,2,23148000
19,1,3,1,23148000
20,1,3,1,23234400
21,1,3,0,23234400
22,1,3,0,23234400
23,1,3,2,23234400
24,1,3,1,23234400
25,1,4,0,23839200
26,1,4,1,23839200
27,1,4,1,23839200
28,1,4,1,23839200
29,1,4,2,23839200
30,1,4,0,23839200
31,1,4,0,23839200
32,1,4,0,23839200
33,1,5,1,24444000
34,1,5,1,24444000
35,1,5,1,24444000
36,1,5,1,24444000
37,1,5,2,24444000
38,1,5,0,24444000
39,1,5,0,24444000
40,1,5,1,24444000
41,1,6,0,24962400
42,1,6,1,24962400
43,1,6,0,24962400
44,1,6,1,24962400
45,1,6,0,25048800
46,1,6,2,25048800
47,1,6,0,25048800
48,1,6,0,25048800
49,1,7,1,25653600
50,1,7,0,25653600
51,1,7,0,25653600
52,1,7,2,25653600
53,1,7,1,25653600
54,1,7,1,25653600
55,1,7,1,25653600
56,1,7,0,25653600
57,1,8,2,26175600
58,1,8,0,26262000
59,1,8,2,26262000
60,1,8,0,26262000
61,1,8,2,26262000
62,1,8,2,26262000
63,1,8,1,26262000
64,1,8,1,26262000
65,1,9,1,27471600
66,1,9,0,27471600
67,1,9,1,27471600
68,1,9,1,27471600
69,1,9,2,27471600
70,1,9,0,27471600
71,1,9,1,27471600
72,1,9,0,27471600
73,1,10,0,28076400
74,1,10,1,28076400
75,1,10,1,28076400
76,1,10,0,28076400
77,1,10,2,28076400
78,1,10,0,28076400
79,1,10,0,28076400
80,1,10,5,28076400
81,1,11,1,28681200
82,1,11,0,28681200
83,1,11,0,28681200
84,1,11,2,28681200
85,1,11,0,28681200
86,1,11,0,28681200
87,1,11,2,28681200
88,1,11,0,28681200
89,1,12,0,29286000
90,1,12,0,29286000
91,1,12,0,29286000
92,1,12,0,29286000
93,1,12,1,29286000
94,1,12,1,29286000
95,1,12,1,29286000
96,1,12,1,29286000
97,1,13,1,29890800
98,1,13,1,29890800
99,1,13,0,29890800
100,1,13,1,29890800
101,1,13,1,29890800
102,1,13,1,29890800
103,1,13,1,29890800
104,1,13,1,29890800
105,1,14,0,30495600
106,1,14,1,30495600
107,1,14,0,30495600
108,1,14,3,30495600
109,1,14,1,30495600
110,1,14,2,30495600
111,1,14,1,30495600
112,1,14,0,30495600
113,1,15,0,31100400
114,1,15,1,31100400
115,1,15,1,31100400
116,1,15,3,31100400
117,1,15,3,31100400
118,1,15,2,31100400
119,1,15,1,31100400
120,1,15,1,31100400
121,1,16,1,31705200
122,1,16,1,31705200
123,1,16,0,31705200
124,1,16,1,31705200
125,1,16,0,31705200
126,1,16,0,31705200
127,1,16,0,31705200
128,1,16,0,31705200
129,1,17,0,32310000
130,1,17,0,32310000
131,1,17,2,32310000
132,1,17,0,32310000
133,1,17,0,32310000
134,1,17,0,32310000
135,1,17,1,32310000
136,1,17,2,32310000
137,1,18,0,32914800
138,1,18,0,32914800
139,1,18,1,32914800
140,1,18,1,32914800
141,1,18,0,32914800
142,1,18,0,32914800
143,1,18,0,32914800
144,1,18,2,32914800
145,1,19,2,33519600
146,1,19,1,33519600
147,1,19,0,33519600
148,1,19,0,33519600
149,1,19,1,33519600
150,1,19,1,33519600
151,1,19,1,33519600
152,1,19,2,33519600
153,1,20,0,34124400
154,1,20,1,34124400
155,1,20,0,34124400
156,1,20,1,34124400
157,1,20,0,34124400
158,1,20,0,34124400
159,1,20,0,34124400
160,1,20,0,34124400
161,1,21,0,34729200
162,1,21,4,34729200
163,1,21,1,34729200
164,1,21,0,34729200
165,1,21,2,34729200
166,1,21,0,34729200
167,1,21,0,34729200
168,1,21,0,34729200
169,1,22,0,35334000
170,1,22,0,35334000
171,1,22,1,35334000
172,1,22,0,35334000
173,1,22,0,35334000
174,1,22,1,35334000
175,1,22,1,35334000
176,1,22,1,35334000
177,1,23,1,36543600
178,1,23,0,36543600
179,1,23,0,36543600
180,1,23,0,36543600
181,1,23,0,36543600
182,1,23,2,36543600
183,1,23,0,36543600
184,1,23,1,36543600
185,1,24,0,37062000
186,1,24,1,37148400
187,1,24,2,37148400
188,1,24,0,37148400
189,1,24,0,37148400
190,1,24,0,37148400
191,1,24,0,37148400
192,1,24,2,37148400
193,1,25,0,37753200
194,1,25,1,37753200
195,1,25,0,37753200
196,1,25,2,37753200
197,1,25,2,37753200
198,1,25,1,37753200
199,1,25,1,37753200
200,1,25,0,37753200
201,1,26,0,38271600
202,1,26,0,38358000
203,1,26,0,38358000
204,1,26,0,38358000
205,1,26,0,38358000
206,1,26,0,38358000
207,1,26,0,38358000
208,1,26,2,38358000
209,1,27,0,38962800
210,1,27,2,38962800
211,1,27,2,38962800
212,1,27,2,38962800
213,1,27,1,38962800
214,1,27,1,38962800
215,1,27,2,38962800
216,1,27,1,38962800
217,1,28,1,39564000
218,1,28,0,39564000
219,1,28,0,39564000
220,1,28,0,39564000
221,1,28,1,39564000
222,1,28,0,39564000
223,1,28,1,39564000
224,1,28,0,39564000
225,1,29,0,40082400
226,1,29,0,40082400
227,1,29,1,40168800
228,1,29,0,40168800
229,1,29,0,40168800
230,1,29,0,40168800
231,1,29,0,40168800
232,1,29,0,40255200
233,1,30,1,40773600
234,1,30,1,40773600
235,1,30,0,40773600
236,1,30,0,40773600
237,1,30,0,40773600
238,1,30,0,40773600
239,1,30,1,40773600
240,1,30,0,40773600
241,2,1,2,21333600
242,2,1,1,21420000
243,2,1,3,21420000
244,2,1,1,21420000
245,2,1,2,21420000
246,2,1,2,21420000
247,2,1,1,21420000
248,2,1,0,21420000
249,2,1,0,21420000
250,2,1,0,21420000
251,2,2,1,21938400
252,2,2,1,22024800
253,2,2,1,22024800
254,2,2,1,22024800
255,2,2,2,22024800
256,2,2,1,22024800
257,2,2,1,22024800
258,2,2,1,22024800
259,2,2,0,22024800
260,2,2,1,22024800
261,2,3,1,22629600
262,2,3,0,22629600
263,2,3,1,22629600
264,2,3,1,22629600
265,2,3,1,22629600
266,2,3,0,22629600
267,2,3,1,22629600
268,2,3,0,22629600
269,2,3,0,22629600
270,2,3,0,22629600
271,2,4,0,23234400
272,2,4,2,23234400
273,2,4,0,23234400
