id,season,division,round,localTeam,visitorTeam,localGoals,visitorGoals,date,timestamp
1,1970-71,1,1,Atletico de Bilbao,Barcelona,1,1,12/09/1970,21938400
2,1970-71,1,1,Las Palmas,Atletico de Madrid,1,1,12/09/1970,21938400
3,1970-71,1,1,Real Madrid,Valencia,2,0,12/09/1970,21938400
4,1970-71,1,1,Celta de Vigo,Sporting de Gijon,2,0,13/09/1970,22024800
5,1970-71,1,1,Elche,Granada,1,1,13/09/1970,22024800
6,1970-71,1,1,Espanol,Sevilla,0,1,13/09/1970,22024800
7,1970-71,1,1,Sabadell,Real Sociedad,0,0,13/09/1970,22024800
8,1970-71,1,1,Zaragoza,CD Malaga,0,0,13/09/1970,22024800
9,1970-71,1,2,Valencia,Las Palmas,5,1,19/09/1970,22543200
10,1970-71,1,2,Atletico de Madrid,Atletico de Bilbao,2,0,20/09/1970,22629600
11,1970-71,1,2,Barcelona,Zaragoza,5,2,20/09/1970,22629600
12,1970-71,1,2,Sporting de Gijon,Sabadell,3,2,20/09/1970,22629600
13,1970-71,1,2,Granada,Espanol,1,0,20/09/1970,22629600
14,1970-71,1,2,CD Malaga,Celta de Vigo,2,1,20/09/1970,22629600
15,1970-71,1,2,Real Sociedad,Elche,2,0,20/09/1970,22629600
16,1970-71,1,2,Sevilla,Real Madrid,3,1,20/09/1970,22629600
17,1970-71,1,3,Las Palmas,Atletico de Bilbao,1,1,26/09/1970,23148000
18,1970-71,1,3,Real Madrid,Granada,3,2,26/09/1970,23148000
19,1970-71,1,3,Valencia,Sevilla,0,1,26/09/1970,23148000
20,1970-71,1,3,Celta de Vigo,Barcelona,1,1,27/09/1970,23234400
21,1970-71,1,3,Elche,Sporting de Gijon,5,0,27/09/1970,23234400
22,1970-71,1,3,Espanol,Real Sociedad,0,0,27/09/1970,23234400
23,1970-71,1,3,Sabadell,CD Malaga,5,2,27/09/1970,23234400
24,1970-71,1,3,Zaragoza,Atletico de Madrid,0,1,27/09/1970,23234400
25,1970-71,1,4,Atletico de Bilbao,Zaragoza,3,0,04/10/1970,23839200
26,1970-71,1,4,Atletico de Madrid,Celta de Vigo,3,1,04/10/1970,23839200
27,1970-71,1,4,Barcelona,Sabadell,4,1,04/10/1970,23839200
28,1970-71,1,4,Sporting de Gijon,Espanol,0,1,04/10/1970,23839200
29,1970-71,1,4,Granada,Valencia,2,2,04/10/1970,23839200
30,1970-71,1,4,Las Palmas,Sevilla,0,0,04/10/1970,23839200
31,1970-71,1,4,CD Malaga,Elche,1,0,04/10/1970,23839200
32,1970-71,1,4,Real Sociedad,Real Madrid,0,0,04/10/1970,23839200
33,1970-71,1,5,Celta de Vigo,Atletico de Bilbao,2,1,11/10/1970,24444000
34,1970-71,1,5,Elche,Barcelona,0,1,11/10/1970,24444000
35,1970-71,1,5,Espanol,CD Malaga,1,1,11/10/1970,24444000
36,1970-71,1,5,Real Madrid,Sporting de Gijon,1,1,11/10/1970,24444000
37,1970-71,1,5,Sabadell,Atletico de Madrid,0,2,11/10/1970,24444000
38,1970-71,1,5,Sevilla,Granada,1,0,11/10/1970,24444000
39,1970-71,1,5,Valencia,Real Sociedad,0,0,11/10/1970,24444000
40,1970-71,1,5,Zaragoza,Las Palmas,1,1,11/10/1970,24444000
41,1970-71,1,6,Atletico de Bilbao,Sabadell,1,0,17/10/1970,24962400
42,1970-71,1,6,Atletico de Madrid,Elche,3,1,17/10/1970,24962400
43,1970-71,1,6,Barcelona,Espanol,3,0,17/10/1970,24962400
44,1970-71,1,6,Sporting de Gijon,Valencia,0,1,17/10/1970,24962400
45,1970-71,1,6,Granada,Las Palmas,1,0,18/10/1970,25048800
46,1970-71,1,6,CD Malaga,Real Madrid,0,2,18/10/1970,25048800
47,1970-71,1,6,Real Sociedad,Sevilla,1,0,18/10/1970,25048800
48,1970-71,1,6,Zaragoza,Celta de Vigo,0,0,18/10/1970,25048800
49,1970-71,1,7,Elche,Atletico de Bilbao,1,1,25/10/1970,25653600
50,1970-71,1,7,Espanol,Atletico de Madrid,0,0,25/10/1970,25653600
51,1970-71,1,7,Granada,Real Sociedad,2,0,25/10/1970,25653600
52,1970-71,1,7,Las Palmas,Celta de Vigo,1,2,25/10/1970,25653600
53,1970-71,1,7,Real Madrid,Barcelona,0,1,25/10/1970,25653600
54,1970-71,1,7,Sabadell,Zaragoza,2,1,25/10/1970,25653600
55,1970-71,1,7,Sevilla,Sporting de Gijon,1,1,25/10/1970,25653600
56,1970-71,1,7,Valencia,CD Malaga,1,0,25/10/1970,25653600
57,1970-71,1,8,Barcelona,Valencia,0,2,31/10/1970,26175600
58,1970-71,1,8,Atletico de Bilbao,Espanol,2,0,01/11/1970,26262000
59,1970-71,1,8,Atletico de Madrid,Real Madrid,2,2,01/11/1970,26262000
60,1970-71,1,8,Celta de Vigo,Sabadell,1,0,01/11/1970,26262000
61,1970-71,1,8,Sporting de Gijon,Granada,3,2,01/11/1970,26262000
62,1970-71,1,8,Las Palmas,Real Sociedad,4,2,01/11/1970,26262000
63,1970-71,1,8,CD Malaga,Sevilla,1,1,01/11/1970,26262000
64,1970-71,1,8,Zaragoza,Elche,1,1,01/11/1970,26262000
65,1970-71,1,9,Elche,Celta de Vigo,1,1,15/11/1970,27471600
66,1970-71,1,9,Espanol,Zaragoza,0,0,15/11/1970,27471600
67,1970-71,1,9,Granada,CD Malaga,1,1,15/11/1970,27471600
68,1970-71,1,9,Real Sociedad,Sporting de Gijon,3,1,15/11/1970,27471600
69,1970-71,1,9,Real Madrid,Atletico de Bilbao,1,2,15/11/1970,27471600
70,1970-71,1,9,Sabadell,Las Palmas,0,0,15/11/1970,27471600
71,1970-71,1,9,Sevilla,Barcelona,0,1,15/11/1970,27471600
72,1970-71,1,9,Valencia,Atletico de Madrid,1,0,15/11/1970,27471600
73,1970-71,1,10,Atletico de Bilbao,Valencia,0,0,22/11/1970,28076400
74,1970-71,1,10,Atletico de Madrid,Sevilla,4,1,22/11/1970,28076400
75,1970-71,1,10,Barcelona,Granada,2,1,22/11/1970,28076400
76,1970-71,1,10,Celta de Vigo,Espanol,1,0,22/11/1970,28076400
77,1970-71,1,10,Las Palmas,Sporting de Gijon,1,2,22/11/1970,28076400
78,1970-71,1,10,CD Malaga,Real Sociedad,0,0,22/11/1970,28076400
79,1970-71,1,10,Sabadell,Elche,1,0,22/11/1970,28076400
80,1970-71,1,10,Zaragoza,Real Madrid,0,5,22/11/1970,28076400
81,1970-71,1,11,Espanol,Sabadell,3,1,29/11/1970,28681200
82,1970-71,1,11,Sporting de Gijon,CD Malaga,3,0,29/11/1970,28681200
83,1970-71,1,11,Granada,Atletico de Madrid,0,0,29/11/1970,28681200
84,1970-71,1,11,Las Palmas,Elche,2,2,29/11/1970,28681200
85,1970-71,1,11,Real Sociedad,Barcelona,1,0,29/11/1970,28681200
86,1970-71,1,11,Real Madrid,Celta de Vigo,4,0,29/11/1970,28681200
87,1970-71,1,11,Sevilla,Atletico de Bilbao,3,2,29/11/1970,28681200
88,1970-71,1,11,Valencia,Zaragoza,2,0,29/11/1970,28681200
89,1970-71,1,12,Atletico de Bilbao,Granada,3,0,06/12/1970,29286000
90,1970-71,1,12,Atletico de Madrid,Real Sociedad,1,0,06/12/1970,29286000
91,1970-71,1,12,Barcelona,Sporting de Gijon,2,0,06/12/1970,29286000
92,1970-71,1,12,Celta de Vigo,Valencia,1,0,06/12/1970,29286000
93,1970-71,1,12,Elche,Espanol,1,1,06/12/1970,29286000
94,1970-71,1,12,CD Malaga,Las Palmas,1,1,06/12/1970,29286000
95,1970-71,1,12,Sabadell,Real Madrid,1,1,06/12/1970,29286000
96,1970-71,1,12,Zaragoza,Sevilla,4,1,06/12/1970,29286000
97,1970-71,1,13,Espanol,Las Palmas,2,1,13/12/1970,29890800
98,1970-71,1,13,Sporting de Gijon,Atletico de Madrid,1,1,13/12/1970,29890800
99,1970-71,1,13,Granada,Zaragoza,3,0,13/12/1970,29890800
100,1970-71,1,13,CD Malaga,Barcelona,0,1,13/12/1970,29890800
101,1970-71,1,13,Real Sociedad,Atletico de Bilbao,2,1,13/12/1970,29890800
102,1970-71,1,13,Real Madrid,Elche,1,1,13/12/1970,29890800
103,1970-71,1,13,Sevilla,Celta de Vigo,2,1,13/12/1970,29890800
104,1970-71,1,13,Valencia,Sabadell,2,1,13/12/1970,29890800
105,1970-71,1,14,Atletico de Bilbao,Sporting de Gijon,3,0,20/12/1970,30495600
106,1970-71,1,14,Atletico de Madrid,CD Malaga,2,1,20/12/1970,30495600
107,1970-71,1,14,Celta de Vigo,Granada,2,0,20/12/1970,30495600
108,1970-71,1,14,Elche,Valencia,1,3,20/12/1970,30495600
109,1970-71,1,14,Espanol,Real Madrid,0,1,20/12/1970,30495600
110,1970-71,1,14,Las Palmas,Barcelona,3,2,20/12/1970,30495600
111,1970-71,1,14,Sabadell,Sevilla,2,1,20/12/1970,30495600
112,1970-71,1,14,Zaragoza,Real Sociedad,1,0,20/12/1970,30495600
113,1970-71,1,15,Barcelona,Atletico de Madrid,2,0,27/12/1970,31100400
114,1970-71,1,15,Sporting de Gijon,Zaragoza,1,1,27/12/1970,31100400
115,1970-71,1,15,Granada,Sabadell,3,1,27/12/1970,31100400
116,1970-71,1,15,CD Malaga,Atletico de Bilbao,3,3,27/12/1970,31100400
117,1970-71,1,15,Real Sociedad,Celta de Vigo,1,3,27/12/1970,31100400
118,1970-71,1,15,Real Madrid,Las Palmas,4,2,27/12/1970,31100400
119,1970-71,1,15,Sevilla,Elche,2,1,27/12/1970,31100400
120,1970-71,1,15,Valencia,Espanol,2,1,27/12/1970,31100400
121,1970-71,1,16,Atletico de Madrid,Las Palmas,2,1,03/01/1971,31705200
122,1970-71,1,16,Barcelona,Atletico de Bilbao,0,1,03/01/1971,31705200
123,1970-71,1,16,Sporting de Gijon,Celta de Vigo,4,0,03/01/1971,31705200
124,1970-71,1,16,Granada,Elche,3,1,03/01/1971,31705200
125,1970-71,1,16,CD Malaga,Zaragoza,1,0,03/01/1971,31705200
126,1970-71,1,16,Real Sociedad,Sabadell,2,0,03/01/1971,31705200
127,1970-71,1,16,Sevilla,Espanol,1,0,03/01/1971,31705200
